id1,id2,voice_out,voice_out_dur,voice_in,voice_in_dur,sme_out,sme_in,weekd_day_off,weekd_day_on,weekd_nig_off,weekd_nig_on,weeke_day_off,weeke_day_on,weeke_nig_off,weeke_nig_on,class
2,56,0,0,0,0,0,0,4,15,0,2,0,0,0,0,0
2,57,0,0,0,0,0,0,5,12,0,1,0,0,0,0,0
2,64,0,0,0,0,0,0,6,25,0,3,1,0,0,1,0
2,72,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0
2,78,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0
2,79,0,0,0,0,0,0,1,22,1,9,0,0,0,1,0
2,84,0,0,0,0,0,0,181,140,0,15,0,24,0,12,0
2,89,0,0,0,0,0,0,29,108,0,0,0,2,0,0,0
2,90,5,232,2,118,6,7,888,2614,168,49,327,448,138,223,0
2,91,0,0,0,0,0,0,107,386,1,1,1,6,0,8,0
3,2,0,0,0,0,0,0,154,1671,62,114,47,146,1,0,0
3,4,0,0,0,0,0,0,21,16,0,1,2,0,0,1,0
3,6,3,47,0,0,0,0,302,456,67,73,17,1,0,0,0
3,8,0,0,0,0,0,0,11,194,0,11,0,0,0,0,0
3,10,0,0,0,0,0,0,18,38,3,1,0,0,0,0,0
3,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0
3,15,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0
3,19,0,0,0,0,0,0,18,13,0,0,0,1,0,0,0
3,20,41,1285,24,1464,0,0,137,347,84,42,59,20,2,1,0
3,21,0,0,0,0,0,0,202,599,60,50,12,16,4,4,0
3,23,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0
3,25,0,0,0,0,0,0,20,2,8,0,2,0,0,0,0
3,26,0,0,0,0,0,0,322,277,35,3,0,0,0,6,0
3,31,1,95,2,182,0,0,91,118,35,46,9,13,25,48,0
3,32,0,0,0,0,0,0,9,15,0,6,2,0,0,0,0
3,49,0,0,0,0,0,0,11,9,0,0,0,1,0,1,0
3,50,20,1656,9,395,0,1,119,37,15,1,1,0,0,0,0
3,53,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
3,56,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0
3,57,0,0,0,0,0,0,9,5,1,0,2,0,0,0,0
3,64,0,0,0,0,0,0,58,97,23,3,6,3,3,6,0
3,72,3,63,3,125,0,0,6,36,0,27,10,0,0,0,0
3,78,0,0,0,0,0,0,9,33,0,0,0,1,0,0,0
3,79,0,0,0,0,0,0,3,8,1,0,0,0,0,0,0
3,84,0,0,1,80,0,0,30,0,1,0,0,0,0,0,0
3,89,0,0,0,0,0,0,10,47,9,10,0,2,0,0,0
3,90,0,0,0,0,0,0,374,263,89,53,36,6,3,0,0
3,91,0,0,0,0,0,0,126,71,44,12,1,3,0,1,0
4,2,0,0,0,0,0,0,6,152,17,9,0,0,0,0,0
4,3,0,0,0,0,0,0,21,16,0,1,2,0,0,1,0
4,6,0,0,0,0,0,0,4,16,10,3,0,1,0,1,0
4,10,6,994,1,225,0,0,60,40,14,0,7,0,1,0,0
4,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
4,15,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0
4,20,0,0,0,0,0,0,5,37,9,5,0,1,0,0,0
4,21,0,0,0,0,0,0,12,27,0,0,1,1,9,0,0
4,23,0,0,0,0,0,0,25,38,0,0,1,0,0,0,0
4,25,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0
4,26,0,0,0,0,0,0,58,23,0,0,0,0,0,0,0
4,31,0,0,0,0,0,0,30,12,12,1,0,0,0,0,0
4,32,0,0,0,0,0,0,7,17,1,11,0,0,0,0,0
4,49,0,0,0,0,0,0,12,24,1,2,0,2,0,0,0
4,50,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0
4,53,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0
4,56,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
4,57,0,0,0,0,0,0,4,12,0,0,0,0,11,0,0
4,64,0,0,0,0,0,0,17,18,9,2,4,5,19,0,0
4,72,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0
4,78,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0
4,84,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
4,89,0,0,0,0,0,0,291,340,58,65,9,80,0,17,0
4,90,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0
4,91,0,0,0,0,0,0,73,180,1,38,4,59,0,25,0
6,2,73,3957,77,3811,0,8,809,7620,398,969,489,150,598,354,0
6,3,0,0,3,47,0,0,302,456,67,73,17,1,0,0,0
6,4,0,0,0,0,0,0,4,16,10,3,0,1,0,1,0
6,8,0,0,0,0,0,0,41,615,0,92,0,19,0,1,0
6,10,0,0,0,0,0,0,3,22,20,1,0,0,0,0,0
6,11,1,71,4,167,0,0,4,39,0,3,0,0,8,0,0
6,13,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0
6,15,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0
6,19,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0
6,20,171,16763,171,9031,14,16,841,842,485,177,130,111,217,70,0
6,21,0,0,0,0,0,0,520,1149,55,118,3,2,0,7,0
6,23,0,0,0,0,0,0,41,54,0,0,0,0,0,0,0
6,25,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
6,26,8,83,1,54,0,0,388,505,1,26,0,0,0,0,0
6,31,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
6,32,0,0,0,0,0,0,3,5,0,1,0,8,0,0,0
6,49,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0
6,50,3,1005,5,663,0,0,638,278,4,1,0,0,0,0,0
6,53,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
6,56,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
6,57,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0
6,64,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0
6,72,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
6,78,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
6,79,0,0,0,0,0,0,9,10,0,2,0,0,0,0,0
6,84,0,0,0,0,0,0,150,48,0,1,0,20,0,15,0
6,89,0,0,0,0,0,0,7,123,2,0,0,0,0,0,0
6,90,0,0,0,0,0,0,805,658,69,52,51,67,16,19,0
6,91,0,0,0,0,0,0,64,126,0,1,0,1,0,0,0
8,2,0,0,0,0,0,0,228,6138,17,420,2,822,0,0,0
8,3,0,0,0,0,0,0,11,194,0,11,0,0,0,0,0
8,6,0,0,0,0,0,0,41,615,0,92,0,19,0,1,0
8,10,0,0,0,0,0,0,49,41,0,0,0,0,0,0,0
8,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19,0,0,0,0,0,0,191,211,0,0,0,27,0,0,0
8,20,0,0,0,0,0,0,5,44,0,0,0,0,0,0,0
8,21,0,0,0,0,0,0,19,197,0,0,0,0,6,0,0
8,25,0,0,0,0,0,0,482,444,1,0,0,0,0,0,0
8,26,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
8,31,0,0,0,0,0,0,163,243,2,2,0,0,0,0,0
8,32,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
8,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
8,53,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
8,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
8,64,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
8,72,0,0,0,0,0,0,51,252,0,0,0,0,0,0,0
8,78,0,0,0,0,0,0,19,300,0,0,0,0,0,0,0
8,79,0,0,0,0,0,0,4,5,0,0,0,0,2,0,0
8,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,89,0,0,0,0,0,0,7,3,0,0,0,2,0,0,0
8,90,0,0,0,0,0,0,147,2,14,0,0,0,0,0,0
8,91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
10,3,0,0,0,0,0,0,18,38,3,1,0,0,0,0,0
10,4,1,225,6,994,0,0,60,40,14,0,7,0,1,0,0
10,6,0,0,0,0,0,0,3,22,20,1,0,0,0,0,0
10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,13,0,0,0,0,0,0,368,118,0,0,0,0,0,0,0
10,15,0,0,0,0,0,0,7,4,0,0,0,0,0,1,0
10,19,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0
10,20,0,0,0,0,0,0,12,62,16,8,1,0,0,0,0
10,21,0,0,0,0,0,0,41,22,14,0,0,1,0,0,0
10,23,0,0,0,0,0,0,398,113,0,2,0,0,0,0,0
10,25,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0
10,26,0,0,0,0,0,0,38,15,0,0,0,0,0,0,0
10,31,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0
10,32,0,0,0,0,0,0,43,17,0,0,1,1,0,0,0
10,49,0,0,0,0,0,0,8,30,4,5,0,0,0,1,0
10,50,0,0,0,0,0,0,23,12,0,0,0,26,0,0,0
10,53,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0
10,56,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0
10,57,0,0,0,0,0,0,13,8,1,0,0,0,0,0,0
10,64,0,0,0,0,0,0,10,15,0,4,1,0,0,0,0
10,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,78,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
10,84,0,0,0,0,0,0,11,28,0,0,0,0,0,0,0
10,89,0,0,0,0,0,0,19,62,2,0,0,6,0,0,0
10,90,0,0,0,0,0,0,10,8,0,2,0,0,1,0,0
10,91,0,0,0,0,0,0,10,67,0,0,0,0,0,0,0
11,2,4,122,1,82,0,0,0,134,1,21,1,109,31,0,0
11,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
11,6,4,167,1,71,0,0,4,39,0,3,0,0,8,0,0
11,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
11,15,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
11,19,0,0,0,0,0,0,0,33,0,0,0,5,0,0,0
11,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
11,21,0,0,0,0,0,0,4,15,0,3,0,0,0,0,0
11,23,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
11,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,32,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
11,49,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
11,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,72,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,79,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,89,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
11,90,0,0,0,0,0,0,10,8,3,9,0,0,0,0,0
11,91,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,13,98,7,0,0,0,0,0,0
13,3,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0
13,6,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0
13,10,0,0,0,0,0,0,368,118,0,0,0,0,0,0,0
13,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
13,15,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
13,19,0,0,0,0,0,0,15,57,12,0,0,0,0,0,0
13,20,0,0,0,0,0,0,9,83,0,0,0,0,0,0,0
13,21,0,0,0,0,0,0,96,167,0,1,0,0,0,0,0
13,25,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0
13,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
13,31,0,0,0,0,0,0,2,27,9,0,0,0,0,0,0
13,32,0,0,0,0,0,0,10,30,0,1,0,0,0,0,0
13,49,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
13,50,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
13,53,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0
13,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,57,0,0,0,0,0,0,8,48,0,0,0,0,0,0,0
13,64,0,0,0,0,0,0,2,6,9,0,0,0,0,0,0
13,72,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
13,78,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
13,79,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0
13,84,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0
13,89,0,0,0,0,0,0,19,30,21,0,0,0,0,0,0
13,90,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0
13,91,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0
15,4,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0
15,6,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0
15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,0,0,0,0,0,0,7,4,0,0,0,0,0,1,0
15,11,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
15,13,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
15,19,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0
15,20,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
15,21,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0
15,23,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0
15,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
15,26,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0
15,31,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
15,32,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0
15,49,0,0,0,0,0,0,6,12,0,0,0,0,2,1,0
15,50,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
15,53,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0
15,56,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
15,57,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
15,64,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0
15,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,79,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0
15,84,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
15,89,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0
15,90,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0
15,91,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0
19,3,0,0,0,0,0,0,18,13,0,0,0,1,0,0,0
19,4,23,1239,26,3169,25,26,31,21,21,0,1,11,10,8,0
19,6,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0
19,8,0,0,0,0,0,0,191,211,0,0,0,27,0,0,0
19,10,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0
19,11,0,0,0,0,0,0,0,33,0,0,0,5,0,0,0
19,13,0,0,0,0,0,0,15,57,12,0,0,0,0,0,0
19,15,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0
19,20,0,0,0,0,0,0,2,25,0,0,0,1,0,0,0
19,21,0,0,0,0,0,0,1,20,3,0,0,0,0,0,0
19,23,0,0,0,0,0,0,11,31,0,0,1,3,0,0,0
19,25,0,0,0,0,0,0,494,573,6,0,19,0,0,0,0
19,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
19,32,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0
19,49,0,0,0,0,0,0,8,5,0,0,10,1,0,0,0
19,50,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
19,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
19,57,0,0,0,0,0,0,3,7,0,0,0,0,7,0,0
19,64,0,0,0,0,0,0,6,11,8,0,3,2,7,0,0
19,72,0,0,0,0,0,0,71,245,0,0,0,0,0,0,0
19,78,0,0,0,0,0,0,70,485,0,0,5,28,0,0,0
19,79,0,0,0,0,0,0,3,9,8,0,0,0,0,0,0
19,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,89,0,0,0,0,0,0,11,15,6,0,0,24,24,0,0
19,90,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
19,91,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0
20,4,0,0,0,0,0,0,5,37,9,5,0,1,0,0,0
20,8,0,0,0,0,0,0,5,44,0,0,0,0,0,0,0
20,10,0,0,0,0,0,0,12,62,16,8,1,0,0,0,0
20,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
20,13,0,0,0,0,0,0,9,83,0,0,0,0,0,0,0
20,15,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
20,19,0,0,0,0,0,0,2,25,0,0,0,1,0,0,0
20,21,0,0,0,0,0,0,369,574,57,87,0,31,1,42,0
20,23,0,0,0,0,0,0,15,114,0,0,1,0,0,0,0
20,25,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0
20,26,0,0,0,0,0,0,99,254,0,11,0,33,0,0,0
20,31,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0
20,32,0,0,0,0,0,0,102,252,5,15,10,11,2,2,0
20,49,0,0,0,0,0,0,7,15,0,2,0,1,0,0,0
20,53,0,0,0,0,0,0,12,7,0,1,0,0,2,0,0
20,56,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
20,57,0,0,0,0,0,0,83,288,0,51,31,0,12,1,0
20,64,0,0,0,0,0,0,4,11,0,0,0,1,0,0,0
20,72,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
20,78,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
20,79,0,0,0,0,0,0,4,21,0,5,1,0,0,0,0
20,84,0,0,0,0,0,0,188,10,1,0,0,0,0,0,0
20,89,0,0,0,0,0,0,50,72,6,2,0,4,0,1,0
20,90,0,0,0,0,0,0,718,510,94,85,186,172,91,96,0
20,91,0,0,0,0,0,0,96,72,1,4,1,10,0,3,0
21,2,0,0,0,0,0,0,629,3580,14,259,60,160,0,24,0
21,3,0,0,0,0,0,0,202,599,60,50,12,16,4,4,0
21,4,0,0,0,0,0,0,12,27,0,0,1,1,9,0,0
21,6,0,0,0,0,0,0,520,1149,55,118,3,2,0,7,0
21,8,0,0,0,0,0,0,19,197,0,0,0,0,6,0,0
21,10,0,0,0,0,0,0,41,22,14,0,0,1,0,0,0
21,11,0,0,0,0,0,0,4,15,0,3,0,0,0,0,0
21,13,0,0,0,0,0,0,96,167,0,1,0,0,0,0,0
21,15,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0
21,19,0,0,0,0,0,0,1,20,3,0,0,0,0,0,0
21,20,0,0,0,0,0,0,369,574,57,87,0,31,1,42,0
21,23,0,0,0,0,0,0,20,78,0,3,0,0,0,0,0
21,25,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0
21,26,0,0,0,0,0,0,402,839,0,15,0,0,0,0,0
21,31,0,0,0,0,0,0,0,23,0,0,0,11,0,1,0
21,32,0,0,0,0,0,0,9,34,0,0,0,1,0,1,0
21,49,0,0,0,0,0,0,12,23,0,1,0,0,2,2,0
21,50,0,0,0,0,0,0,469,161,1,3,3,0,10,0,0
21,56,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0
21,57,0,0,0,0,0,0,19,52,0,0,0,0,0,1,0
21,64,0,0,0,0,0,0,5,13,0,0,0,2,0,0,0
21,72,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0
21,78,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0
21,79,0,0,0,0,0,0,3,14,2,5,0,0,0,0,0
21,89,0,0,0,0,0,0,33,159,2,1,0,2,0,6,0
21,90,0,0,0,0,0,0,791,791,86,140,59,67,23,19,0
21,91,0,0,0,0,0,0,190,104,1,6,0,7,0,22,0
23,2,0,0,0,0,0,0,51,352,0,16,0,0,0,0,0
23,3,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0
23,4,0,0,0,0,0,0,25,38,0,0,1,0,0,0,0
23,6,0,0,0,0,0,0,41,54,0,0,0,0,0,0,0
23,8,0,0,22,1556,0,0,66,59,16,0,17,42,53,37,0
23,10,0,0,0,0,0,0,398,113,0,2,0,0,0,0,0
23,11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
23,15,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0
23,19,0,0,0,0,0,0,11,31,0,0,1,3,0,0,0
23,20,0,0,0,0,0,0,15,114,0,0,1,0,0,0,0
23,21,0,0,0,0,0,0,20,78,0,3,0,0,0,0,0
23,25,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0
23,26,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
23,31,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0
23,32,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0
23,49,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0
23,50,0,0,0,0,0,0,23,14,0,0,0,0,0,0,0
23,53,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0
23,56,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
23,57,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0
23,64,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0
23,72,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
23,78,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
23,79,0,0,0,0,0,0,4,14,0,2,0,0,0,0,0
23,84,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0
23,89,0,0,0,0,0,0,31,75,0,0,0,0,0,0,0
23,90,0,0,0,0,0,0,6,7,0,17,0,0,0,0,0
23,91,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0
25,2,0,0,0,0,0,0,6,53,0,0,0,0,0,0,0
25,3,0,0,0,0,0,0,20,2,8,0,2,0,0,0,0
25,4,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0
25,6,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
25,8,0,0,0,0,0,0,482,444,1,0,0,0,0,0,0
25,10,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0
25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0
25,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
